Maze Name,Path,Path Time (s),Turns,Distance Travelled (m),Execution Time (micro secs),Cells Travelled
alljapan-012-1991-frsh,"[(0, 0), (0, 1), (0, 2), (0, 3), (1, 3), (2, 3), (3, 3), (4, 3), (4, 4), (4, 5), (3, 5), (2, 5), (1, 5), (1, 6), (1, 7), (1, 8), (0, 8), (0, 9), (0, 10), (0, 11), (1, 11), (1, 12), (1, 13), (1, 14), (2, 14), (3, 14), (3, 15), (4, 15), (5, 15), (6, 15), (7, 15), (8, 15), (9, 15), (9, 14), (10, 14), (11, 14), (12, 14), (12, 13), (11, 13), (11, 12), (11, 11), (11, 10), (10, 10), (9, 10), (9, 9), (9, 8), (9, 7), (8, 7)]",15.947585714997125,20,8.370000000000001,109.6,48
alljapan-013-1992-exp-fin,"[(0, 0), (0, 1), (1, 1), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (5, 1), (5, 2), (5, 3), (6, 3), (6, 4), (7, 4), (7, 5), (8, 5), (9, 5), (9, 4), (10, 4), (10, 3), (11, 3), (11, 2), (12, 2), (12, 1), (13, 1), (13, 0), (14, 0), (15, 0), (15, 1), (14, 1), (14, 2), (13, 2), (13, 3), (12, 3), (12, 4), (11, 4), (11, 5), (10, 5), (10, 6), (9, 6), (9, 7), (10, 7), (11, 7), (12, 7), (13, 7), (14, 7), (14, 6), (14, 5), (14, 4), (14, 3), (15, 3), (15, 4), (15, 5), (15, 6), (15, 7), (15, 8), (15, 9), (14, 9), (14, 8), (13, 8), (12, 8), (11, 8), (10, 8), (9, 8), (8, 8)]",27.595317319260825,40,10.529999999999998,100.5,65
alljapan-013-1992-exp-pre,"[(0, 0), (0, 1), (0, 2), (1, 2), (2, 2), (2, 1), (3, 1), (4, 1), (5, 1), (6, 1), (6, 2), (7, 2), (8, 2), (9, 2), (10, 2), (10, 1), (11, 1), (12, 1), (13, 1), (13, 2), (13, 3), (13, 4), (14, 4), (15, 4), (15, 5), (15, 6), (15, 7), (15, 8), (15, 9), (15, 10), (15, 11), (15, 12), (15, 13), (14, 13), (13, 13), (13, 12), (14, 12), (14, 11), (14, 10), (13, 10), (12, 10), (11, 10), (11, 9), (10, 9), (10, 8), (9, 8), (8, 8)]",15.467458326814098,20,8.01,177.70000000000002,47
alljapan-013-1992-frsh,"[(0, 0), (0, 1), (0, 2), (1, 2), (2, 2), (3, 2), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (8, 0), (9, 0), (10, 0), (11, 0), (12, 0), (13, 0), (14, 0), (15, 0), (15, 1), (15, 2), (15, 3), (15, 4), (15, 5), (15, 6), (15, 7), (15, 8), (15, 9), (15, 10), (15, 11), (15, 12), (15, 13), (14, 13), (13, 13), (12, 13), (12, 12), (12, 11), (12, 10), (13, 10), (13, 9), (12, 9), (11, 9), (10, 9), (10, 8), (9, 8), (8, 8)]",11.82919383110452,14,8.01,103.9,47
alljapan-014-1993-exp-fin,"[(0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (1, 4), (1, 5), (1, 6), (1, 7), (1, 8), (0, 8), (0, 9), (1, 9), (1, 10), (2, 10), (2, 11), (3, 11), (3, 12), (4, 12), (4, 13), (5, 13), (5, 14), (6, 14), (6, 15), (7, 15), (8, 15), (9, 15), (10, 15), (11, 15), (12, 15), (13, 15), (14, 15), (14, 14), (14, 13), (13, 13), (13, 12), (13, 11), (13, 10), (12, 10), (12, 9), (12, 8), (12, 7), (12, 6), (12, 5), (11, 5), (11, 6), (11, 7), (11, 8), (11, 9), (10, 9), (9, 9), (9, 8), (10, 8), (10, 7), (9, 7), (9, 6), (8, 6), (7, 6), (6, 6), (5, 6), (4, 6), (3, 6), (3, 7), (4, 7), (5, 7), (6, 7), (7, 7)]",24.775323757331883,34,11.25,122.1,67
alljapan-014-1993-exp-pre,"[(0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (1, 7), (2, 7), (3, 7), (4, 7), (4, 8), (4, 9), (4, 10), (3, 10), (2, 10), (2, 11), (2, 12), (2, 13), (3, 13), (4, 13), (5, 13), (6, 13), (7, 13), (8, 13), (9, 13), (9, 14), (9, 15), (10, 15), (11, 15), (12, 15), (13, 15), (14, 15), (15, 15), (15, 14), (15, 13), (15, 12), (15, 11), (15, 10), (15, 9), (15, 8), (14, 8), (13, 8), (12, 8), (11, 8), (10, 8), (9, 8), (9, 9), (8, 9), (7, 9), (6, 9), (6, 8), (6, 7), (7, 7)]",13.110569906412636,14,9.63,92.7,55
alljapan-014-1993-frsh,"[(0, 0), (0, 1), (0, 2), (0, 3), (1, 3), (2, 3), (3, 3), (4, 3), (4, 2), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1), (11, 1), (11, 2), (11, 3), (11, 4), (12, 4), (13, 4), (14, 4), (15, 4), (15, 5), (15, 6), (15, 7), (15, 8), (15, 9), (15, 10), (15, 11), (15, 12), (15, 13), (15, 14), (15, 15), (14, 15), (13, 15), (12, 15), (11, 15), (10, 15), (9, 15), (8, 15), (8, 14), (8, 13), (8, 12), (8, 11), (8, 10), (8, 9), (8, 8)]",8.840669913622303,8,7.469999999999999,130.1,49
alljapan-015-1994-exp-fin,"[(0, 0), (0, 1), (1, 1), (2, 1), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (9, 0), (10, 0), (11, 0), (11, 1), (12, 1), (12, 2), (12, 3), (13, 3), (14, 3), (14, 4), (14, 5), (14, 6), (14, 7), (13, 7), (13, 6), (13, 5), (13, 4), (12, 4), (11, 4), (11, 3), (11, 2), (10, 2), (9, 2), (8, 2), (8, 3), (9, 3), (9, 4), (10, 4), (10, 5), (11, 5), (11, 6), (12, 6), (12, 7), (12, 8), (13, 8), (13, 9), (14, 9), (14, 10), (15, 10), (15, 11), (14, 11), (14, 12), (13, 12), (13, 11), (12, 11), (12, 10), (11, 10), (11, 9), (10, 9), (10, 8), (9, 8), (9, 7), (9, 6), (8, 6), (7, 6), (7, 7)]",30.114199460060803,44,11.789999999999992,118.2,67
alljapan-015-1994-exp-pre,"[(0, 0), (0, 1), (0, 2), (1, 2), (1, 1), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (9, 0), (10, 0), (11, 0), (12, 0), (13, 0), (14, 0), (14, 1), (14, 2), (15, 2), (15, 3), (15, 4), (15, 5), (15, 6), (15, 7), (15, 8), (14, 8), (14, 9), (14, 10), (13, 10), (13, 11), (13, 12), (12, 12), (12, 13), (11, 13), (11, 14), (10, 14), (9, 14), (8, 14), (8, 13), (8, 12), (8, 11), (8, 10), (8, 9), (9, 9), (9, 8), (9, 7), (9, 6), (8, 6), (7, 6), (7, 7)]",16.49457671561294,22,9.27,216.5,53
alljapan-015-1994-frsh,"[(0, 0), (0, 1), (0, 2), (1, 2), (2, 2), (2, 3), (2, 4), (1, 4), (0, 4), (0, 5), (0, 6), (1, 6), (2, 6), (2, 7), (2, 8), (3, 8), (4, 8), (5, 8), (5, 9), (5, 10), (6, 10), (7, 10), (8, 10), (8, 11), (8, 12), (8, 13), (7, 13), (6, 13), (6, 14), (6, 15), (7, 15), (8, 15), (9, 15), (9, 14), (9, 13), (9, 12), (9, 11), (9, 10), (9, 9), (9, 8), (9, 7), (9, 6), (8, 6), (7, 6), (7, 7)]",14.001842827557864,18,7.83,154.9,45
alljapan-016-1995-exp-fin,"[(0, 0), (0, 1), (1, 1), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (5, 1), (5, 2), (5, 3), (6, 3), (6, 4), (7, 4), (7, 5), (8, 5), (9, 5), (9, 4), (10, 4), (10, 3), (11, 3), (11, 2), (12, 2), (12, 1), (13, 1), (13, 0), (14, 0), (15, 0), (15, 1), (14, 1), (14, 2), (13, 2), (13, 3), (12, 3), (12, 4), (11, 4), (11, 5), (10, 5), (10, 6), (9, 6), (9, 7), (10, 7), (11, 7), (12, 7), (13, 7), (14, 7), (14, 6), (14, 5), (14, 4), (14, 3), (15, 3), (15, 4), (15, 5), (15, 6), (15, 7), (15, 8), (15, 9), (14, 9), (14, 8), (13, 8), (12, 8), (11, 8), (10, 8), (9, 8), (8, 8)]",27.595317319260825,40,10.529999999999998,128.1,65
alljapan-016-1995-exp-pre,"[(0, 0), (0, 1), (0, 2), (1, 2), (2, 2), (3, 2), (3, 1), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (9, 0), (10, 0), (11, 0), (12, 0), (12, 1), (12, 2), (13, 2), (14, 2), (14, 3), (14, 4), (14, 5), (13, 5), (13, 4), (12, 4), (12, 5), (12, 6), (11, 6), (10, 6), (10, 7), (11, 7), (12, 7), (12, 8), (11, 8), (10, 8), (10, 9), (11, 9), (12, 9), (12, 10), (11, 10), (10, 10), (9, 10), (8, 10), (8, 9), (9, 9), (9, 8), (9, 7), (9, 6), (8, 6), (7, 6), (7, 7)]",19.097838094678625,26,9.27,174.8,53
alljapan-016-1995-frsh,"[(0, 0), (0, 1), (0, 2), (0, 3), (1, 3), (1, 2), (1, 1), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (9, 0), (10, 0), (11, 0), (12, 0), (13, 0), (14, 0), (14, 1), (14, 2), (14, 3), (14, 4), (14, 5), (15, 5), (15, 6), (15, 7), (15, 8), (15, 9), (15, 10), (15, 11), (15, 12), (15, 13), (15, 14), (15, 15), (14, 15), (13, 15), (12, 15), (11, 15), (10, 15), (9, 15), (9, 14), (9, 13), (9, 12), (8, 12), (7, 12), (7, 11), (7, 10), (7, 9), (7, 8)]",10.359166860069166,10,8.549999999999999,131.4,52
alljapan-017-1996-exp-fin,"[(0, 0), (0, 1), (1, 1), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (9, 0), (10, 0), (11, 0), (12, 0), (13, 0), (14, 0), (15, 0), (15, 1), (14, 1), (13, 1), (12, 1), (12, 2), (13, 2), (14, 2), (15, 2), (15, 3), (14, 3), (13, 3), (12, 3), (12, 4), (13, 4), (14, 4), (15, 4), (15, 5), (15, 6), (15, 7), (15, 8), (15, 9), (15, 10), (14, 10), (14, 9), (14, 8), (14, 7), (14, 6), (14, 5), (13, 5), (13, 6), (13, 7), (13, 8), (13, 9), (13, 10), (13, 11), (13, 12), (12, 12), (12, 13), (11, 13), (10, 13), (10, 12), (11, 12), (11, 11), (12, 11), (12, 10), (11, 10), (10, 10), (10, 11), (9, 11), (9, 12), (8, 12), (8, 11), (8, 10), (8, 9), (9, 9), (9, 8), (8, 8)]",25.78594291916626,34,13.229999999999992,119.8,75
alljapan-017-1996-exp-pre,"[(0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (1, 10), (1, 11), (2, 11), (2, 12), (3, 12), (3, 13), (4, 13), (5, 13), (6, 13), (6, 14), (6, 15), (7, 15), (8, 15), (9, 15), (9, 14), (9, 13), (10, 13), (10, 14), (10, 15), (11, 15), (12, 15), (13, 15), (14, 15), (15, 15), (15, 14), (14, 14), (13, 14), (13, 13), (14, 13), (15, 13), (15, 12), (15, 11), (15, 10), (14, 10), (14, 9), (14, 8), (13, 8), (12, 8), (12, 7), (12, 6), (11, 6), (10, 6), (9, 6), (9, 7), (8, 7)]",19.823637522817176,26,9.81,148.0,56
alljapan-017-1996-frsh,"[(0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (1, 5), (1, 6), (1, 7), (1, 8), (1, 9), (1, 10), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (1, 14), (2, 14), (3, 14), (3, 15), (4, 15), (5, 15), (6, 15), (7, 15), (7, 14), (7, 13), (6, 13), (5, 13), (4, 13), (4, 12), (5, 12), (6, 12), (7, 12), (7, 11), (6, 11), (5, 11), (4, 11), (4, 10), (5, 10), (6, 10), (6, 9), (6, 8), (7, 8)]",14.301275570720412,18,7.65,300.2,44
alljapan-018-1997-exp-fin,"[(0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (1, 5), (1, 6), (1, 7), (1, 8), (1, 9), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (1, 15), (1, 14), (1, 13), (1, 12), (1, 11), (2, 11), (2, 12), (2, 13), (2, 14), (2, 15), (3, 15), (3, 14), (3, 13), (4, 13), (4, 12), (5, 12), (6, 12), (6, 11), (7, 11), (8, 11), (9, 11), (9, 12), (8, 12), (7, 12), (7, 13), (6, 13), (5, 13), (5, 14), (4, 14), (4, 15), (5, 15), (6, 15), (6, 14), (7, 14), (7, 15), (8, 15), (8, 14), (8, 13), (9, 13), (9, 14), (9, 15), (10, 15), (10, 14), (10, 13), (10, 12), (10, 11), (10, 10), (9, 10), (9, 9), (9, 8), (8, 8)]",26.783901727202476,36,12.149999999999991,170.9,69
alljapan-018-1997-exp-pre,"[(0, 0), (0, 1), (0, 2), (1, 2), (2, 2), (2, 1), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (8, 1), (8, 2), (8, 3), (9, 3), (9, 2), (9, 1), (10, 1), (11, 1), (12, 1), (12, 2), (12, 3), (13, 3), (14, 3), (14, 4), (14, 5), (15, 5), (15, 6), (15, 7), (15, 8), (15, 9), (15, 10), (15, 11), (15, 12), (15, 13), (15, 14), (14, 14), (13, 14), (12, 14), (11, 14), (10, 14), (9, 14), (9, 15), (8, 15), (8, 14), (8, 13), (9, 13), (9, 12), (9, 11), (9, 10), (9, 9), (8, 9), (8, 8)]",17.03464207769927,20,9.63,144.6,55
alljapan-018-1997-frsh,"[(0, 0), (0, 1), (0, 2), (1, 2), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (2, 9), (1, 9), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (1, 13), (2, 13), (2, 14), (2, 15), (3, 15), (4, 15), (5, 15), (6, 15), (6, 14), (6, 13), (7, 13), (8, 13), (9, 13), (10, 13), (11, 13), (11, 12), (11, 11), (11, 10), (10, 10), (9, 10), (9, 9), (9, 8), (9, 7), (8, 7)]",11.978209704343891,14,7.29,168.0,42
alljapan-019-1998-exp-fin,"[(0, 0), (0, 1), (1, 1), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (9, 0), (10, 0), (10, 1), (9, 1), (9, 2), (8, 2), (7, 2), (6, 2), (5, 2), (4, 2), (3, 2), (2, 2), (1, 2), (1, 3), (1, 4), (2, 4), (2, 5), (3, 5), (3, 4), (4, 4), (4, 5), (5, 5), (5, 4), (6, 4), (6, 5), (7, 5), (7, 4), (8, 4), (8, 5), (9, 5), (9, 4), (10, 4), (11, 4), (11, 5), (10, 5), (10, 6), (10, 7), (10, 8), (11, 8), (11, 9), (12, 9), (12, 10), (13, 10), (13, 11), (14, 11), (14, 12), (13, 12), (12, 12), (12, 11), (11, 11), (11, 10), (10, 10), (10, 9), (9, 9), (9, 8), (9, 7), (8, 7)]",31.44834535151778,46,11.969999999999992,123.5,68
alljapan-019-1998-exp-pre,"[(0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (1, 7), (2, 7), (2, 8), (2, 9), (2, 10), (1, 10), (1, 11), (1, 12), (0, 12), (0, 13), (1, 13), (2, 13), (3, 13), (4, 13), (5, 13), (5, 12), (6, 12), (7, 12), (8, 12), (9, 12), (10, 12), (10, 13), (11, 13), (12, 13), (13, 13), (13, 12), (12, 12), (11, 12), (11, 11), (10, 11), (9, 11), (9, 10), (10, 10), (11, 10), (12, 10), (12, 11), (13, 11), (13, 10), (13, 9), (12, 9), (12, 8), (11, 8), (10, 8), (9, 8), (9, 7), (8, 7)]",19.62874464726867,26,9.45,148.70000000000002,54
alljapan-019-1998-frsh,"[(0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (1, 6), (1, 7), (1, 8), (1, 9), (2, 9), (3, 9), (3, 10), (2, 10), (1, 10), (1, 11), (1, 12), (1, 13), (1, 14), (2, 14), (3, 14), (4, 14), (5, 14), (5, 13), (6, 13), (7, 13), (7, 12), (7, 11), (7, 10), (7, 9), (8, 9), (8, 10), (8, 11), (8, 12), (8, 13), (9, 13), (10, 13), (10, 12), (9, 12), (9, 11), (9, 10), (9, 9), (9, 8), (9, 7), (8, 7)]",14.463095730383603,18,8.009999999999998,124.4,46
alljapan-028-2007-exp-fin,"[(0, 0), (0, 1), (1, 1), (1, 2), (2, 2), (2, 3), (3, 3), (3, 4), (3, 5), (2, 5), (2, 6), (2, 7), (2, 8), (1, 8), (0, 8), (0, 9), (0, 10), (0, 11), (1, 11), (1, 10), (1, 9), (2, 9), (2, 10), (2, 11), (2, 12), (1, 12), (1, 13), (0, 13), (0, 14), (0, 15), (1, 15), (2, 15), (3, 15), (4, 15), (5, 15), (6, 15), (7, 15), (8, 15), (9, 15), (10, 15), (11, 15), (12, 15), (13, 15), (14, 15), (15, 15), (15, 14), (15, 13), (15, 12), (15, 11), (15, 10), (15, 9), (15, 8), (14, 8), (14, 7), (13, 7), (13, 6), (14, 6), (14, 5), (13, 5), (13, 4), (14, 4), (14, 3), (13, 3), (12, 3), (11, 3), (11, 4), (11, 5), (11, 6), (11, 7), (10, 7), (9, 7), (8, 7)]",25.23707903121457,34,12.329999999999997,101.9,72
alljapan-028-2007-frsh,"[(0, 0), (0, 1), (0, 2), (0, 3), (1, 3), (1, 2), (1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (5, 2), (5, 3), (5, 4), (6, 4), (6, 5), (6, 6), (6, 7), (6, 8), (6, 9), (6, 10), (6, 11), (6, 12), (6, 13), (7, 13), (8, 13), (8, 14), (9, 14), (9, 15), (10, 15), (11, 15), (12, 15), (13, 15), (13, 14), (13, 13), (12, 13), (12, 12), (12, 11), (11, 11), (11, 10), (11, 9), (11, 8), (11, 7), (10, 7), (9, 7), (9, 8), (8, 8)]",15.559333717764911,20,8.189999999999998,152.9,47
alljapan-029-2008-exp-fin,"[(0, 0), (0, 1), (0, 2), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (2, 6), (2, 7), (3, 7), (3, 8), (4, 8), (4, 9), (4, 10), (3, 10), (3, 11), (4, 11), (4, 12), (3, 12), (2, 12), (1, 12), (1, 13), (1, 14), (2, 14), (2, 13), (3, 13), (3, 14), (4, 14), (4, 13), (5, 13), (5, 14), (6, 14), (7, 14), (8, 14), (9, 14), (10, 14), (11, 14), (12, 14), (12, 13), (11, 13), (11, 12), (10, 12), (10, 13), (9, 13), (9, 12), (8, 12), (8, 13), (7, 13), (7, 12), (6, 12), (6, 11), (6, 10), (7, 10), (7, 9), (8, 9), (8, 10), (9, 10), (10, 10), (10, 9), (11, 9), (12, 9), (12, 8), (11, 8), (11, 7), (10, 7), (10, 6), (9, 6), (8, 6), (7, 6), (6, 6), (6, 7), (7, 7)]",35.537625136593846,52,12.86999999999999,209.3,73
alljapan-029-2008-exp-pre,"[(0, 0), (0, 1), (0, 2), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 7), (1, 8), (1, 9), (1, 10), (1, 11), (1, 12), (1, 13), (0, 13), (0, 14), (0, 15), (1, 15), (2, 15), (3, 15), (4, 15), (5, 15), (6, 15), (7, 15), (8, 15), (9, 15), (10, 15), (11, 15), (12, 15), (12, 14), (11, 14), (11, 13), (10, 13), (10, 12), (9, 12), (8, 12), (8, 13), (8, 14), (7, 14), (7, 13), (7, 12), (7, 11), (8, 11), (9, 11), (10, 11), (11, 11), (11, 12), (12, 12), (12, 11), (12, 10), (11, 10), (11, 9), (10, 9), (9, 9), (8, 9), (7, 9), (7, 10), (6, 10), (5, 10), (5, 9), (6, 9), (6, 8), (6, 7), (7, 7)]",21.44666517674713,28,11.429999999999996,127.4,65
alljapan-029-2008-frsh,"[(0, 0), (0, 1), (0, 2), (0, 3), (1, 3), (2, 3), (3, 3), (3, 2), (4, 2), (4, 3), (5, 3), (5, 4), (5, 5), (5, 6), (5, 7), (4, 7), (3, 7), (3, 8), (3, 9), (4, 9), (5, 9), (6, 9), (6, 8), (6, 7), (7, 7)]",8.837853343095516,12,4.23,122.1,25
alljapan-030-2009-exp-fin,"[(0, 0), (0, 1), (1, 1), (1, 0), (2, 0), (2, 1), (3, 1), (3, 0), (4, 0), (4, 1), (5, 1), (5, 2), (6, 2), (6, 3), (7, 3), (8, 3), (8, 2), (9, 2), (9, 1), (10, 1), (11, 1), (11, 2), (12, 2), (12, 1), (13, 1), (13, 2), (14, 2), (15, 2), (15, 3), (15, 4), (15, 5), (15, 6), (14, 6), (14, 7), (15, 7), (15, 8), (14, 8), (14, 9), (15, 9), (15, 10), (14, 10), (14, 11), (15, 11), (15, 12), (15, 13), (14, 13), (13, 13), (12, 13), (12, 12), (13, 12), (13, 11), (12, 11), (12, 10), (11, 10), (11, 9), (10, 9), (10, 8), (9, 8), (9, 7), (8, 7)]",32.940705418336755,50,10.529999999999994,86.2,60
alljapan-030-2009-exp-pre,"[(0, 0), (0, 1), (0, 2), (1, 2), (1, 1), (1, 0), (2, 0), (3, 0), (4, 0), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1), (10, 0), (11, 0), (11, 1), (12, 1), (12, 0), (13, 0), (14, 0), (15, 0), (15, 1), (15, 2), (15, 3), (15, 4), (14, 4), (14, 5), (15, 5), (15, 6), (14, 6), (14, 7), (15, 7), (15, 8), (14, 8), (14, 9), (15, 9), (15, 10), (15, 11), (15, 12), (15, 13), (15, 14), (15, 15), (14, 15), (13, 15), (13, 14), (12, 14), (12, 13), (11, 13), (11, 12), (10, 12), (10, 11), (9, 11), (9, 10), (9, 9), (9, 8), (8, 8)]",25.41542579573572,36,10.349999999999994,143.20000000000002,59
alljapan-030-2009-frsh,"[(0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (1, 6), (1, 7), (1, 8), (1, 9), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (1, 15), (2, 15), (3, 15), (4, 15), (5, 15), (6, 15), (7, 15), (7, 14), (8, 14), (9, 14), (10, 14), (10, 15), (11, 15), (12, 15), (13, 15), (14, 15), (14, 14), (13, 14), (12, 14), (12, 13), (12, 12), (13, 12), (13, 11), (13, 10), (13, 9), (12, 9), (11, 9), (10, 9), (9, 9), (8, 9), (7, 9), (6, 9), (6, 8), (6, 7), (7, 7)]",15.05879181989984,18,9.269999999999998,133.3,53
alljapan-031-2010-exp-fin,"[(0, 0), (0, 1), (1, 1), (2, 1), (2, 2), (3, 2), (4, 2), (4, 3), (5, 3), (5, 2), (5, 1), (5, 0), (6, 0), (7, 0), (8, 0), (8, 1), (9, 1), (9, 2), (8, 2), (8, 3), (7, 3), (7, 4), (6, 4), (6, 5), (5, 5), (5, 6), (4, 6), (4, 7), (3, 7), (3, 8), (2, 8), (2, 9), (2, 10), (2, 11), (3, 11), (4, 11), (5, 11), (5, 10), (4, 10), (3, 10), (3, 9), (4, 9), (5, 9), (6, 9), (7, 9), (8, 9), (9, 9), (10, 9), (11, 9), (12, 9), (12, 8), (12, 7), (11, 7), (10, 7), (9, 7), (9, 6), (8, 6), (8, 7)]",24.785656921953453,36,10.169999999999998,87.2,58
alljapan-031-2010-exp-pre,"[(0, 0), (0, 1), (1, 1), (2, 1), (3, 1), (4, 1), (4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (9, 0), (10, 0), (11, 0), (12, 0), (13, 0), (14, 0), (15, 0), (15, 1), (15, 2), (15, 3), (15, 4), (15, 5), (15, 6), (15, 7), (15, 8), (15, 9), (15, 10), (15, 11), (15, 12), (15, 13), (15, 14), (15, 15), (14, 15), (14, 14), (14, 13), (14, 12), (14, 11), (13, 11), (13, 10), (13, 9), (13, 8), (13, 7), (13, 6), (13, 5), (13, 4), (13, 3), (14, 3), (14, 2), (13, 2), (12, 2), (11, 2), (10, 2), (9, 2), (9, 3), (8, 3), (7, 3), (7, 4), (6, 4), (5, 4), (5, 5), (4, 5), (4, 6), (4, 7), (5, 7), (6, 7), (7, 7)]",16.75562318218485,20,11.429999999999996,110.0,67
alljapan-031-2010-frsh,"[(0, 0), (0, 1), (0, 2), (0, 3), (1, 3), (2, 3), (2, 2), (2, 1), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (8, 1), (8, 2), (8, 3), (8, 4), (9, 4), (10, 4), (11, 4), (11, 5), (11, 6), (11, 7), (11, 8), (11, 9), (11, 10), (11, 11), (10, 11), (9, 11), (8, 11), (8, 10), (8, 9), (7, 9), (6, 9), (6, 8), (6, 7), (7, 7)]",10.462903496621076,12,6.75,115.3,39
alljapan-032-2011-exp-fin,"[(0, 0), (0, 1), (1, 1), (2, 1), (2, 2), (3, 2), (3, 3), (4, 3), (4, 4), (3, 4), (3, 5), (2, 5), (2, 6), (1, 6), (1, 7), (1, 8), (1, 9), (1, 10), (1, 11), (1, 12), (1, 13), (1, 14), (0, 14), (0, 15), (1, 15), (2, 15), (3, 15), (4, 15), (5, 15), (6, 15), (7, 15), (7, 14), (8, 14), (8, 13), (9, 13), (9, 14), (10, 14), (10, 13), (11, 13), (11, 12), (11, 11), (10, 11), (10, 10), (9, 10), (8, 10), (7, 10), (6, 10), (6, 9), (5, 9), (5, 8), (6, 8), (6, 7), (6, 6), (7, 6), (7, 7)]",24.17253731170412,36,9.629999999999995,95.4,55
alljapan-032-2011-exp-pre,"[(0, 0), (0, 1), (1, 1), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (9, 0), (10, 0), (11, 0), (12, 0), (13, 0), (14, 0), (14, 1), (15, 1), (15, 2), (15, 3), (15, 4), (15, 5), (14, 5), (14, 6), (14, 7), (15, 7), (15, 8), (15, 9), (15, 10), (15, 11), (15, 12), (15, 13), (15, 14), (15, 15), (14, 15), (14, 14), (13, 14), (13, 13), (12, 13), (12, 12), (11, 12), (11, 11), (10, 11), (10, 10), (10, 9), (10, 8), (9, 8), (9, 7), (10, 7), (10, 6), (9, 6), (9, 5), (8, 5), (8, 6), (7, 6), (7, 7)]",21.93754853372193,32,9.989999999999997,97.6,57
alljapan-032-2011-frsh-fin,"[(0, 0), (0, 1), (0, 2), (0, 3), (1, 3), (2, 3), (2, 2), (2, 1), (3, 1), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (8, 1), (8, 2), (9, 2), (9, 1), (9, 0), (10, 0), (11, 0), (12, 0), (13, 0), (13, 1), (14, 1), (14, 2), (15, 2), (15, 3), (15, 4), (15, 5), (15, 6), (15, 7), (15, 8), (15, 9), (14, 9), (14, 10), (14, 11), (13, 11), (13, 10), (13, 9), (13, 8), (12, 8), (12, 9), (12, 10), (11, 10), (10, 10), (9, 10), (9, 9), (9, 8), (8, 8)]",18.30480808456508,24,8.909999999999997,104.8,51
